"Asset ID","Asset No.",Date,Time(EDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,"Fuel Counter(Gallon)",Acceleration(Miles/Hour/Sec),"Status Mask",Address
101,022051,2015-07-24,08:17:34,6.2,"South East East","Motion Start",1,42.0679016,-71.0369299,Massachusetts,"17,025.62",31.32,42015,"92 Gordon St, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:17:38,0,"South South West","Motion Stop",1.4,42.4156806,-71.0478326,Massachusetts,0.00,-13.42,9247,"742 Broadway, Everett, MA 02149"
48,022062,2015-07-24,08:17:38,0,"North North West","Door Open/Close",0.3,42.0679702,-71.0451243,"Brockton High","17,307.50",,41023,"Angus Beaton Dr, Brockton, MA 02301"
87,022027,2015-07-24,08:17:39,27.5,"North East East",Standard,1,42.0701379,-71.0355463,Massachusetts,"17,218.21",-11.18,40991,"372 Forest Ave, Brockton, MA 02301"
93,022041,2015-07-24,08:17:41,0,"North North West","Power On, Motion Stop",0.3,42.0681199,-71.0451668,"Brockton High","17,056.27",,42015,"Angus Beaton Dr, Brockton, MA 02301"
87,022027,2015-07-24,08:17:47,0,"North East East","Motion Stop",1,42.0702448,-71.0349579,Massachusetts,"17,218.21",-22.37,42015,"356 Forest Ave, Brockton, MA 02301"
47,022081,2015-07-24,08:17:50,0,"North North West","Power On",0.2,42.0682679,-71.0452194,"Brockton High","19,167.80",,40991,"Angus Beaton Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:17:52,10.5,East,Standard,1.1,42.0686881,-71.0353341,Massachusetts,"17,025.62",-4.47,40991,"Ettrick St, Brockton, MA 02301"
87,022027,2015-07-24,08:18:02,7.2,"North East East","Motion Start",1,42.0702485,-71.0349457,Massachusetts,"17,218.21",38.03,42015,"356 Forest Ave, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:18:07,8.1,"South South West","Motion Start",1.4,42.4156293,-71.0478899,Massachusetts,0.00,62.63,9247,"740 Broadway, Everett, MA 02149"
101,022051,2015-07-24,08:18:10,26.7,"South South East",Standard,1.2,42.0671466,-71.0341572,Massachusetts,"17,025.62",,40991,"49 Ettrick St, Brockton, MA 02301"
47,022081,2015-07-24,08:18:12,7.2,"North North West","Motion Start",0.2,42.0682907,-71.04523,"Brockton High","19,167.80",29.08,42015,"Angus Beaton Dr, Brockton, MA 02301"
93,022041,2015-07-24,08:18:21,7,"North North West","Motion Start",0.3,42.0681519,-71.0451918,"Brockton High","17,056.27",26.84,42015,"Angus Beaton Dr, Brockton, MA 02301"
87,022027,2015-07-24,08:18:25,31,"North East East",Standard,1.2,42.0708774,-71.0314844,Massachusetts,"17,218.21",-4.47,40991,"278 Forest Ave, Brockton, MA 02301"
48,022062,2015-07-24,08:18:28,3,"North North West","Motion Start",0.3,42.0679702,-71.0451243,"Brockton High","17,307.50",6.71,42015,"Angus Beaton Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:18:28,18,"North East East",Standard,1.3,42.0660087,-71.0330908,Massachusetts,"17,025.62",29.08,40991,"288 Menlo St, Brockton, MA 02301"
47,022081,2015-07-24,08:18:30,23.7,"North West",Standard,0.3,42.0694777,-71.0459481,"Brockton High","19,167.80",-6.71,40991,"Angus Beaton Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:18:33,20.8,"South South West",Standard,1.5,42.4140593,-71.0491688,Massachusetts,0.00,,8223,"688 Broadway, Everett, MA 02149"
87,022027,2015-07-24,08:18:33,0,"North East East","Motion Stop",1.2,42.0710034,-71.0307753,Massachusetts,"17,218.21",-26.84,42015,"262 Forest Ave, Brockton, MA 02301"
93,022041,2015-07-24,08:18:39,25.5,"North West",Standard,0.4,42.069383,-71.0458237,"Brockton High","17,056.27",4.47,40991,"Angus Beaton Dr, Brockton, MA 02301"
47,022081,2015-07-24,08:18:41,0,"North North West","Motion Stop",0.4,42.0699293,-71.0464223,"BROCKTON HIGH SCHOOL","19,167.80",-13.42,42015,"Angus Beaton Dr, Brockton, MA 02301"
47,022081,2015-07-24,08:18:45,4,"North North West","Motion Start",0.4,42.069938,-71.0464203,"BROCKTON HIGH SCHOOL","19,167.80",13.42,42015,"Angus Beaton Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:18:46,31,"North East East",Standard,1.4,42.0667186,-71.030683,Massachusetts,"17,025.62",4.47,40991,"228 Menlo St, Brockton, MA 02301"
